#a(fm) beta m_s*a m_ud*a
0.19 3.59357 0.0843568 0.00299669
0.189 3.5954 0.0837672 0.00297575
0.188 3.59725 0.0831804 0.0029549
0.187 3.59911 0.0825961 0.00293414
0.186 3.60099 0.0820145 0.00291348
0.185 3.60287 0.0814355 0.00289291
0.184 3.60477 0.0808591 0.00287244
0.183 3.60668 0.0802852 0.00285205
0.182 3.60861 0.0797138 0.00283175
0.181 3.61054 0.0791449 0.00281154
0.18 3.6125 0.0785785 0.00279142
0.179 3.61446 0.0780145 0.00277139
0.178 3.61644 0.077453 0.00275144
0.177 3.61843 0.0768938 0.00273157
0.176 3.62044 0.0763371 0.0027118
0.175 3.62246 0.0757826 0.0026921
0.174 3.6245 0.0752306 0.00267249
0.173 3.62655 0.0746808 0.00265296
0.172 3.62861 0.0741333 0.00263351
0.171 3.63069 0.0735881 0.00261414
0.17 3.63279 0.0730452 0.00259485
0.169 3.63491 0.0725044 0.00257565
0.168 3.63704 0.0719659 0.00255651
0.167 3.63918 0.0714295 0.00253746
0.166 3.64135 0.0708953 0.00251848
0.165 3.64353 0.0703632 0.00249958
0.164 3.64572 0.0698333 0.00248076
0.163 3.64794 0.0693054 0.002462
0.162 3.65017 0.0687796 0.00244333
0.161 3.65242 0.0682559 0.00242472
0.16 3.65469 0.0677342 0.00240619
0.159 3.65698 0.0672145 0.00238772
0.158 3.65929 0.0666967 0.00236933
0.157 3.66162 0.066181 0.00235101
0.156 3.66397 0.0656672 0.00233276
0.155 3.66634 0.0651554 0.00231458
0.154 3.66873 0.0646454 0.00229646
0.153 3.67114 0.0641373 0.00227841
0.152 3.67357 0.0636311 0.00226043
0.151 3.67602 0.0631268 0.00224252
0.15 3.6785 0.0626243 0.00222466
0.149 3.68099 0.0621236 0.00220688
0.148 3.68352 0.0616247 0.00218915
0.147 3.68606 0.0611275 0.00217149
0.146 3.68863 0.0606322 0.0021539
0.145 3.69122 0.0601385 0.00213636
0.144 3.69384 0.0596466 0.00211888
0.143 3.69648 0.0591563 0.00210147
0.142 3.69915 0.0586678 0.00208411
0.141 3.70185 0.0581809 0.00206682
0.14 3.70457 0.0576956 0.00204958
0.139 3.70732 0.057212 0.0020324
0.138 3.7101 0.05673 0.00201527
0.137 3.7129 0.0562495 0.00199821
0.136 3.71574 0.0557707 0.0019812
0.135 3.7186 0.0552933 0.00196424
0.134 3.72149 0.0548175 0.00194734
0.133 3.72442 0.0543433 0.00193049
0.132 3.72738 0.0538705 0.00191369
0.131 3.73036 0.0533992 0.00189695
0.13 3.73339 0.0529294 0.00188026
0.129 3.73644 0.052461 0.00186362
0.128 3.73953 0.051994 0.00184703
0.127 3.74265 0.0515284 0.0018305
0.126 3.74581 0.0510643 0.00181401
0.125 3.74901 0.0506015 0.00179757
0.124 3.75224 0.0501401 0.00178117
0.123 3.75551 0.04968 0.00176483
0.122 3.75882 0.0492212 0.00174853
0.121 3.76217 0.0487638 0.00173228
0.12 3.76556 0.0483076 0.00171608
0.119 3.76899 0.0478527 0.00169992
0.118 3.77247 0.0473991 0.0016838
0.117 3.77598 0.0469467 0.00166773
0.116 3.77954 0.0464956 0.00165171
0.115 3.78315 0.0460456 0.00163572
0.114 3.7868 0.0455969 0.00161978
0.113 3.79051 0.0451493 0.00160388
0.112 3.79425 0.0447029 0.00158802
0.111 3.79805 0.0442576 0.00157221
0.11 3.8019 0.0438135 0.00155643
0.109 3.80581 0.0433704 0.00154069
0.108 3.80976 0.0429285 0.00152499
0.107 3.81377 0.0424877 0.00150933
0.106 3.81784 0.0420479 0.00149371
